sample_id,category,t_start,t_end,t_delta,whole_psnr,clip_edited,image_path
0,0_random_140,0.0,0.0,0.15,27.444458,0.222502,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p0__t_end_0p0.png
0,0_random_140,0.1,0.0,0.15,27.43461,0.222855,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p1__t_end_0p0.png
0,0_random_140,0.2,0.0,0.15,27.416234,0.221767,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p2__t_end_0p0.png
0,0_random_140,0.3,0.0,0.15,27.361269,0.222221,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p3__t_end_0p0.png
0,0_random_140,0.4,0.0,0.15,27.25023,0.224078,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p4__t_end_0p0.png
0,0_random_140,0.5,0.0,0.15,26.885932,0.226765,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p5__t_end_0p0.png
0,0_random_140,0.6,0.0,0.15,25.902114,0.228312,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p6__t_end_0p0.png
0,0_random_140,0.7,0.0,0.15,23.278321,0.22966,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p7__t_end_0p0.png
0,0_random_140,0.8,0.0,0.15,19.545728,0.237734,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p8__t_end_0p0.png
0,0_random_140,0.9,0.0,0.15,16.85272,0.232784,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p9__t_end_0p0.png
0,0_random_140,1.0,0.0,0.15,14.406916,0.229155,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_1p0__t_end_0p0.png
0,0_random_140,0.0,0.1,0.15,23.882679,0.225546,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p0__t_end_0p1.png
0,0_random_140,0.1,0.1,0.15,23.877293,0.225499,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p1__t_end_0p1.png
0,0_random_140,0.2,0.1,0.15,23.878677,0.224948,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p2__t_end_0p1.png
0,0_random_140,0.3,0.1,0.15,23.85983,0.224605,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p3__t_end_0p1.png
0,0_random_140,0.4,0.1,0.15,23.809144,0.224638,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p4__t_end_0p1.png
0,0_random_140,0.5,0.1,0.15,23.684936,0.225121,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p5__t_end_0p1.png
0,0_random_140,0.6,0.1,0.15,23.338674,0.224883,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p6__t_end_0p1.png
0,0_random_140,0.7,0.1,0.15,22.234335,0.229027,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p7__t_end_0p1.png
0,0_random_140,0.8,0.1,0.15,19.501066,0.229486,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p8__t_end_0p1.png
0,0_random_140,0.9,0.1,0.15,17.419934,0.244984,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p9__t_end_0p1.png
0,0_random_140,1.0,0.1,0.15,14.80298,0.216924,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_1p0__t_end_0p1.png
0,0_random_140,0.0,0.2,0.15,21.990025,0.223854,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p0__t_end_0p2.png
0,0_random_140,0.1,0.2,0.15,21.996533,0.224098,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_sdturbo_top_20260626_104807/0_random_140_000000000000/t_delta_0p15/cells/t_start_0p1__t_end_0p2.png
