sample_id,category,t_start,t_end,t_delta,whole_psnr,clip_edited,image_path
0,0_random_140,0.0,0.0,0.0,27.444458,0.222502,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0.png
0,0_random_140,0.05,0.0,0.0,27.431968,0.222517,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0.png
0,0_random_140,0.15,0.0,0.0,27.397226,0.222303,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0.png
0,0_random_140,0.25,0.0,0.0,27.318974,0.222264,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0.png
0,0_random_140,0.35,0.0,0.0,27.002632,0.225769,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0.png
0,0_random_140,0.45,0.0,0.0,26.20622,0.227769,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0.png
0,0_random_140,0.55,0.0,0.0,23.13201,0.235304,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0.png
0,0_random_140,0.65,0.0,0.0,19.11747,0.241315,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0.png
0,0_random_140,0.75,0.0,0.0,16.296809,0.232863,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0.png
0,0_random_140,0.85,0.0,0.0,13.949519,0.220849,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0.png
0,0_random_140,0.0,0.1,0.0,23.882679,0.225546,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p1.png
0,0_random_140,0.05,0.1,0.0,23.882291,0.225351,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p1.png
0,0_random_140,0.15,0.1,0.0,23.869346,0.225043,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p1.png
0,0_random_140,0.25,0.1,0.0,23.850292,0.225636,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p1.png
0,0_random_140,0.35,0.1,0.0,23.718283,0.224614,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p1.png
0,0_random_140,0.45,0.1,0.0,23.512637,0.224663,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p1.png
0,0_random_140,0.55,0.1,0.0,22.183664,0.230289,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p1.png
0,0_random_140,0.65,0.1,0.0,19.148169,0.233869,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p1.png
0,0_random_140,0.75,0.1,0.0,16.837018,0.252409,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p1.png
0,0_random_140,0.85,0.1,0.0,14.328617,0.215336,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p1.png
0,0_random_140,0.0,0.2,0.0,21.990025,0.223854,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p2.png
0,0_random_140,0.05,0.2,0.0,21.99479,0.223748,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p2.png
0,0_random_140,0.15,0.2,0.0,22.010725,0.223898,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p2.png
0,0_random_140,0.25,0.2,0.0,21.992236,0.224693,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p2.png
0,0_random_140,0.35,0.2,0.0,21.864718,0.22415,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p2.png
0,0_random_140,0.45,0.2,0.0,21.763295,0.225206,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p2.png
0,0_random_140,0.55,0.2,0.0,20.872842,0.22915,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p2.png
0,0_random_140,0.65,0.2,0.0,18.526963,0.232048,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p2.png
0,0_random_140,0.75,0.2,0.0,16.803453,0.239272,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p75__t_end_0p2.png
0,0_random_140,0.85,0.2,0.0,14.505321,0.218945,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p85__t_end_0p2.png
0,0_random_140,0.0,0.3,0.0,20.386382,0.225036,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0__t_end_0p3.png
0,0_random_140,0.05,0.3,0.0,20.389803,0.225291,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p05__t_end_0p3.png
0,0_random_140,0.15,0.3,0.0,20.407045,0.225608,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p15__t_end_0p3.png
0,0_random_140,0.25,0.3,0.0,20.409978,0.225428,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p25__t_end_0p3.png
0,0_random_140,0.35,0.3,0.0,20.31151,0.227031,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p35__t_end_0p3.png
0,0_random_140,0.45,0.3,0.0,20.196473,0.225485,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p45__t_end_0p3.png
0,0_random_140,0.55,0.3,0.0,19.495939,0.224293,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p55__t_end_0p3.png
0,0_random_140,0.65,0.3,0.0,17.637212,0.230854,/data/home/mirick/ChordEdit/ablation_outputs/grid_metrics_random140_tstart_sweep_20260626_130536/0_random_140_000000000000/t_delta_0/cells/t_start_0p65__t_end_0p3.png
