sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
0,0.0,0.0,0.0,27.41766166687012,22.13981437683105
1,0.0,0.0,0.0,28.29838752746582,22.883100509643555
2,0.0,0.0,0.0,28.24260902404785,20.588998794555664
3,0.0,0.0,0.0,27.86025047302246,22.573869705200195
4,0.0,0.0,0.0,31.678129196166992,21.820056915283203
5,0.0,0.0,0.0,33.55740737915039,21.28530502319336
6,0.0,0.0,0.0,36.42853546142578,21.81779670715332
7,0.0,0.0,0.0,26.83984565734864,27.01457977294922
8,0.0,0.0,0.0,31.64994430541992,25.02378463745117
9,0.0,0.0,0.0,35.138370513916016,20.812944412231445
10,0.0,0.0,0.0,29.52876853942871,28.336090087890625
11,0.0,0.0,0.0,30.91649627685547,19.272125244140625
12,0.0,0.0,0.0,22.651254653930664,15.949304580688477
13,0.0,0.0,0.0,30.158586502075195,16.44675064086914
14,0.0,0.0,0.0,37.105587005615234,19.63260269165039
15,0.0,0.0,0.0,30.73632049560547,13.082901000976562
16,0.0,0.0,0.0,27.175931930541992,19.793739318847656
17,0.0,0.0,0.0,27.48750114440918,17.693893432617188
18,0.0,0.0,0.0,29.26392364501953,23.3880672454834
19,0.0,0.0,0.0,24.388139724731445,21.2830867767334
20,0.0,0.0,0.0,25.7363338470459,20.94620704650879
21,0.0,0.0,0.0,28.983190536499023,26.80034637451172
22,0.0,0.0,0.0,21.23321533203125,16.6513671875
23,0.0,0.0,0.0,26.019569396972656,26.3494873046875
24,0.0,0.0,0.0,24.4539794921875,27.08173370361328
25,0.0,0.0,0.0,29.61246681213379,21.71789932250977
26,0.0,0.0,0.0,33.15802001953125,17.067485809326172
27,0.0,0.0,0.0,26.058927536010746,18.542381286621094
28,0.0,0.0,0.0,33.81179428100586,22.94585609436035
29,0.0,0.0,0.0,28.67571449279785,20.54543876647949
30,0.0,0.0,0.0,21.519119262695312,20.27228546142578
31,0.0,0.0,0.0,33.79488754272461,19.544652938842773
32,0.0,0.0,0.0,30.05101585388184,17.608797073364258
33,0.0,0.0,0.0,30.03396797180176,33.33356857299805
34,0.0,0.0,0.0,21.503087997436523,24.15436363220215
35,0.0,0.0,0.0,23.461801528930664,18.40117835998535
36,0.0,0.0,0.0,31.136808395385746,9.811718940734863
37,0.0,0.0,0.0,22.96421432495117,23.609134674072266
38,0.0,0.0,0.0,29.15375328063965,27.17491912841797
39,0.0,0.0,0.0,20.68149375915528,24.29124641418457
40,0.0,0.0,0.0,28.35824012756348,27.973302841186523
41,0.0,0.0,0.0,21.74544715881348,19.72920608520508
42,0.0,0.0,0.0,33.74433135986328,22.335168838500977
43,0.0,0.0,0.0,27.70575714111328,22.431615829467773
44,0.0,0.0,0.0,23.71418190002441,20.886110305786133
45,0.0,0.0,0.0,29.91665267944336,24.397602081298828
46,0.0,0.0,0.0,35.60089111328125,22.62199592590332
47,0.0,0.0,0.0,19.056381225585938,19.91139411926269
48,0.0,0.0,0.0,35.381561279296875,21.8908748626709
49,0.0,0.0,0.0,31.512121200561523,18.38085174560547
50,0.0,0.0,0.0,26.530658721923828,19.99147605895996
51,0.0,0.0,0.0,27.536958694458008,25.98630142211914
52,0.0,0.0,0.0,29.05159950256348,18.99249649047852
53,0.0,0.0,0.0,27.615692138671875,22.59153938293457
54,0.0,0.0,0.0,25.660648345947266,22.86014175415039
55,0.0,0.0,0.0,26.7191104888916,24.376873016357425
56,0.0,0.0,0.0,23.33995819091797,23.48886489868164
