sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
0,0.15,0.0,0.0,27.31409159928856,21.19316291809082
0,0.15,0.0,0.1,27.31409159928856,21.19316291809082
0,0.15,0.0,0.2,27.31409159928856,21.19316291809082
0,0.15,0.0,0.3,27.31409159928856,21.19316291809082
0,0.15,0.0,0.4,27.31409159928856,21.19316291809082
0,0.15,0.0,0.5,27.31409159928856,21.19316291809082
0,0.15,0.0,0.6,27.31409159928856,21.19316291809082
0,0.15,0.0,0.7,27.31409159928856,21.19316291809082
0,0.15,0.0,0.8,27.31409159928856,21.19316291809082
0,0.15,0.0,0.9,27.31409159928856,21.19316291809082
0,0.15,0.0,1.0,27.31409159928856,21.19316291809082
0,0.15,0.1,0.0,27.298784788001164,21.075990676879883
0,0.15,0.1,0.1,23.884324807710783,21.6315975189209
0,0.15,0.1,0.2,23.884324807710783,21.6315975189209
0,0.15,0.1,0.3,23.884324807710783,21.6315975189209
0,0.15,0.1,0.4,23.884324807710783,21.6315975189209
0,0.15,0.1,0.5,23.884324807710783,21.6315975189209
0,0.15,0.1,0.6,23.884324807710783,21.6315975189209
0,0.15,0.1,0.7,23.884324807710783,21.6315975189209
0,0.15,0.1,0.8,23.884324807710783,21.6315975189209
0,0.15,0.1,0.9,23.884324807710783,21.6315975189209
0,0.15,0.1,1.0,23.884324807710783,21.6315975189209
0,0.15,0.2,0.0,27.28835098507524,20.862829208374023
0,0.15,0.2,0.1,23.884721525002508,21.59390449523925
0,0.15,0.2,0.2,22.009457216512217,22.579195022583008
0,0.15,0.2,0.3,22.009457216512217,22.579195022583008
0,0.15,0.2,0.4,22.009457216512217,22.579195022583008
0,0.15,0.2,0.5,22.009457216512217,22.579195022583008
0,0.15,0.2,0.6,22.009457216512217,22.579195022583008
0,0.15,0.2,0.7,22.009457216512217,22.579195022583008
0,0.15,0.2,0.8,22.009457216512217,22.579195022583008
0,0.15,0.2,0.9,22.009457216512217,22.579195022583008
0,0.15,0.2,1.0,22.009457216512217,22.579195022583008
0,0.15,0.3,0.0,27.25027471639534,20.98945999145508
0,0.15,0.3,0.1,23.872910728908803,21.382755279541016
0,0.15,0.3,0.2,22.00574231103635,22.93661880493164
0,0.15,0.3,0.3,20.411677636075268,22.235260009765625
0,0.15,0.3,0.4,20.411677636075268,22.235260009765625
0,0.15,0.3,0.5,20.411677636075268,22.235260009765625
0,0.15,0.3,0.6,20.411677636075268,22.235260009765625
0,0.15,0.3,0.7,20.411677636075268,22.235260009765625
0,0.15,0.3,0.8,20.411677636075268,22.235260009765625
0,0.15,0.3,0.9,20.411677636075268,22.235260009765625
0,0.15,0.3,1.0,20.411677636075268,22.235260009765625
0,0.15,0.4,0.0,27.18290391760467,21.14186286926269
0,0.15,0.4,0.1,23.83999537985677,21.15018081665039
0,0.15,0.4,0.2,21.97139121015949,22.7744255065918
0,0.15,0.4,0.3,20.38972753176989,22.00226211547852
0,0.15,0.4,0.4,18.63048858256764,23.09062385559082
0,0.15,0.4,0.5,18.63048858256764,23.09062385559082
0,0.15,0.4,0.6,18.63048858256764,23.09062385559082
0,0.15,0.4,0.7,18.63048858256764,23.09062385559082
0,0.15,0.4,0.8,18.63048858256764,23.09062385559082
0,0.15,0.4,0.9,18.63048858256764,23.09062385559082
0,0.15,0.4,1.0,18.63048858256764,23.09062385559082
0,0.15,0.5,0.0,26.932808975000505,21.08723831176757
0,0.15,0.5,0.1,23.73440568929407,21.16929244995117
0,0.15,0.5,0.2,21.891013519964968,22.509462356567383
0,0.15,0.5,0.3,20.307969109030857,21.76173973083496
0,0.15,0.5,0.4,18.57395109394692,22.307104110717773
0,0.15,0.5,0.5,16.628659352313704,23.679874420166016
